label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,p-value
state_00,86,94,113,109,111,93,109,93,113,79,0.1251995760614963
state_01,93,99,93,95,94,92,120,105,104,105,0.647530136333676
state_10,101,88,99,91,110,101,95,93,111,111,0.6952004519069511
state_11,108,95,118,85,128,103,99,82,97,85,0.018539669348825377
00->00,392,154,104,75,64,53,40,38,43,37,1.461432721348806e-224
00->01,92,98,126,82,108,108,99,91,95,101,0.1608046426840733
00->10,87,84,105,102,118,97,99,115,102,91,0.27708232884591466
00->11,105,105,103,94,86,97,106,99,109,96,0.887644570667451
01->00,105,91,114,119,96,114,101,98,80,82,0.0660509672673849
01->01,409,149,102,78,68,41,37,36,42,38,1.2069719826267882e-248
01->10,129,105,94,97,91,101,83,111,99,90,0.08984308878007177
01->11,105,108,110,96,111,82,94,79,108,107,0.1916867408469657
10->00,108,100,105,99,109,96,87,102,93,101,0.9047082426880132
10->01,98,93,102,118,104,94,73,106,98,114,0.12303844749908105
10->10,434,146,86,67,52,49,42,41,37,46,5.394092542097808e-282
10->11,105,122,107,96,123,79,90,87,100,91,0.02570792251793672
11->00,114,98,105,96,92,101,106,92,87,109,0.682823306469474
11->01,113,89,95,98,95,116,84,105,102,103,0.4428310913038449
11->10,107,96,101,104,98,92,101,123,82,96,0.3345381516340064
11->11,425,143,80,69,58,64,44,48,35,34,2.7961194574480453e-266
